source_predictor,variable_type,overall_missingness,outer1_training_missingness,indicator_generated_outer1,survived_step2_outer1,outer2_training_missingness,indicator_generated_outer2,survived_step2_outer2,outer3_training_missingness,indicator_generated_outer3,survived_step2_outer3,outer4_training_missingness,indicator_generated_outer4,survived_step2_outer4,outer5_training_missingness,indicator_generated_outer5,survived_step2_outer5,indicator_generated_any_fold,indicator_generated_all_folds,transformed_indicator_feature
x_lab_glucose_serum_last,numeric,0.22266673505325604,0.21477255731470205,True,True,0.2235897435897436,True,True,0.22083199657790611,True,True,0.22729312223575412,True,True,0.22684443304916352,True,True,True,True,missingindicator_x_lab_glucose_serum_last
x_lab_glucose_serum_min,numeric,0.22266673505325604,0.21477255731470205,True,True,0.2235897435897436,True,True,0.22083199657790611,True,True,0.22729312223575412,True,True,0.22684443304916352,True,True,True,True,missingindicator_x_lab_glucose_serum_min
x_lab_glucose_serum_max,numeric,0.22266673505325604,0.21477255731470205,True,True,0.2235897435897436,True,True,0.22083199657790611,True,True,0.22729312223575412,True,True,0.22684443304916352,True,True,True,True,missingindicator_x_lab_glucose_serum_max
x_lab_glucose_serum_mean,numeric,0.22266673505325604,0.21477255731470205,True,True,0.2235897435897436,True,True,0.22083199657790611,True,True,0.22729312223575412,True,True,0.22684443304916352,True,True,True,True,missingindicator_x_lab_glucose_serum_mean
x_lab_glucose_serum_n,numeric,0.22266673505325604,0.21477255731470205,True,True,0.2235897435897436,True,True,0.22083199657790611,True,True,0.22729312223575412,True,True,0.22684443304916352,True,True,True,True,missingindicator_x_lab_glucose_serum_n
x_lab_calcium_first,numeric,0.24436238053717665,0.23844625344529197,True,True,0.2494871794871795,True,True,0.24527857983103413,True,True,0.2343439523107493,True,True,0.25425720573467514,True,True,True,True,missingindicator_x_lab_calcium_first
x_lab_calcium_last,numeric,0.24436238053717665,0.23844625344529197,True,True,0.2494871794871795,True,True,0.24527857983103413,True,True,0.2343439523107493,True,True,0.25425720573467514,True,True,True,True,missingindicator_x_lab_calcium_last
x_lab_calcium_min,numeric,0.24436238053717665,0.23844625344529197,True,True,0.2494871794871795,True,True,0.24527857983103413,True,True,0.2343439523107493,True,True,0.25425720573467514,True,True,True,True,missingindicator_x_lab_calcium_min
x_lab_calcium_max,numeric,0.24436238053717665,0.23844625344529197,True,True,0.2494871794871795,True,True,0.24527857983103413,True,True,0.2343439523107493,True,True,0.25425720573467514,True,True,True,True,missingindicator_x_lab_calcium_max
x_lab_calcium_mean,numeric,0.24436238053717665,0.23844625344529197,True,True,0.2494871794871795,True,True,0.24527857983103413,True,True,0.2343439523107493,True,True,0.25425720573467514,True,True,True,True,missingindicator_x_lab_calcium_mean
