outer_fold,source_predictor,indicator_feature,n_test,mean_abs_indicator_shap,mean_abs_value_shap,sum_abs_indicator_shap,sum_abs_value_shap,source_missingness_test,fold_indicator_rank
5,x_vital_respiratory_rate_n,missingindicator_x_vital_respiratory_rate_n,11688,0.0,0.01034873,0.0,120.955956,0.094798083504449,26
5,x_vital_noninvasive_systolic_bp_first,missingindicator_x_vital_noninvasive_systolic_bp_first,11688,0.0,0.017239675,0.0,201.49733,0.05835044490075291,26
5,x_vital_noninvasive_systolic_bp_last,missingindicator_x_vital_noninvasive_systolic_bp_last,11688,0.0,0.07618759,0.0,890.4805,0.05835044490075291,26
5,x_vital_noninvasive_systolic_bp_min,missingindicator_x_vital_noninvasive_systolic_bp_min,11688,0.0004930625,0.035232715,5.7629147,411.8,0.05835044490075291,19
5,x_vital_noninvasive_systolic_bp_max,missingindicator_x_vital_noninvasive_systolic_bp_max,11688,0.0,0.015430061,0.0,180.34656,0.05835044490075291,26
5,x_vital_noninvasive_systolic_bp_mean,missingindicator_x_vital_noninvasive_systolic_bp_mean,11688,0.0,0.011100652,0.0,129.74442,0.05835044490075291,26
5,x_vital_noninvasive_systolic_bp_sd,missingindicator_x_vital_noninvasive_systolic_bp_sd,11688,0.0016340121,0.042580225,19.098333,497.67767,0.07272416153319644,7
5,x_vital_noninvasive_systolic_bp_n,missingindicator_x_vital_noninvasive_systolic_bp_n,11688,0.0,0.0129474085,0.0,151.32932,0.05835044490075291,26
5,x_vital_noninvasive_diastolic_bp_first,missingindicator_x_vital_noninvasive_diastolic_bp_first,11688,0.0,0.037862066,0.0,442.53183,0.058264887063655034,26
5,x_vital_noninvasive_diastolic_bp_last,missingindicator_x_vital_noninvasive_diastolic_bp_last,11688,0.0,0.0030318853,0.0,35.436676,0.058264887063655034,26
5,x_vital_noninvasive_diastolic_bp_min,missingindicator_x_vital_noninvasive_diastolic_bp_min,11688,0.0,0.006770858,0.0,79.13779,0.058264887063655034,26
5,x_vital_noninvasive_diastolic_bp_max,missingindicator_x_vital_noninvasive_diastolic_bp_max,11688,0.0,0.0052138492,0.0,60.93947,0.058264887063655034,26
5,x_vital_noninvasive_diastolic_bp_mean,missingindicator_x_vital_noninvasive_diastolic_bp_mean,11688,0.0,0.006293693,0.0,73.560684,0.058264887063655034,26
5,x_vital_noninvasive_diastolic_bp_sd,missingindicator_x_vital_noninvasive_diastolic_bp_sd,11688,0.0010436075,0.010642755,12.197684,124.39252,0.07263860369609856,11
5,x_vital_noninvasive_diastolic_bp_n,missingindicator_x_vital_noninvasive_diastolic_bp_n,11688,0.0,0.008450348,0.0,98.76767,0.058264887063655034,26
5,x_vital_noninvasive_mean_bp_first,missingindicator_x_vital_noninvasive_mean_bp_first,11688,0.0010911193,0.01001228,12.753002,117.02353,0.05792265571526352,9
5,x_vital_noninvasive_mean_bp_last,missingindicator_x_vital_noninvasive_mean_bp_last,11688,0.0007917225,0.0038312217,9.253653,44.77932,0.05792265571526352,16
5,x_vital_noninvasive_mean_bp_min,missingindicator_x_vital_noninvasive_mean_bp_min,11688,0.0,0.007749871,0.0,90.58049,0.05792265571526352,26
5,x_vital_noninvasive_mean_bp_max,missingindicator_x_vital_noninvasive_mean_bp_max,11688,0.0,0.004951238,0.0,57.87007,0.05792265571526352,26
5,x_vital_noninvasive_mean_bp_mean,missingindicator_x_vital_noninvasive_mean_bp_mean,11688,0.0,0.007449512,0.0,87.06989,0.05792265571526352,26
5,x_vital_noninvasive_mean_bp_sd,missingindicator_x_vital_noninvasive_mean_bp_sd,11688,0.02525613,0.0074596074,295.19366,87.18789,0.07246748802190281,1
5,x_vital_noninvasive_mean_bp_n,missingindicator_x_vital_noninvasive_mean_bp_n,11688,0.0,0.029989446,0.0,350.51663,0.05792265571526352,26
