predictor,clinical_domain,data_type,source_table_field,extraction_window,overall_missingness,min_hospital_missingness,max_hospital_missingness,hospitals_completely_unavailable,missingness_indicator_generated,removed_folds,removed_fold_count,retained_all_folds
x_lab_hgb_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.27289668496007935,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_hgb_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.27289668496007935,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_hgb_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.27289668496007935,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_hgb_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.27289668496007935,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_hgb_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.27289668496007935,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_hct_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2735292609119352,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_hct_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2735292609119352,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_hct_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2735292609119352,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_hct_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2735292609119352,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_hct_mean,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2735292609119352,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_hct_n,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.2735292609119352,0.0,0.8846153846153846,0,Yes when missing in training,,0,True
x_lab_platelets_first,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.3082696483219641,0.0,0.9230769230769231,0,Yes when missing in training,,0,True
x_lab_platelets_last,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.3082696483219641,0.0,0.9230769230769231,0,Yes when missing in training,,0,True
x_lab_platelets_min,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.3082696483219641,0.0,0.9230769230769231,0,Yes when missing in training,,0,True
x_lab_platelets_max,Laboratory,numeric,feature_labs_v1,admission/0–12 h,0.3082696483219641,0.0,0.9230769230769231,0,Yes when missing in training,,0,True
