outer_fold,selected_candidate,source_predictor,transformed_column_count,mean_absolute_grouped_shap,mean_signed_grouped_shap,fold_rank
1,XGB04,x_lab_albumin_last,2,0.0011367069338002027,-0.0004681367232325667,147
1,XGB04,x_lab_albumin_min,2,0.0023789242507261696,5.906782874366677e-05,131
1,XGB04,x_lab_albumin_max,2,0.0015242883716290983,-0.0004802483730037462,143
1,XGB04,x_lab_albumin_mean,2,0.0020971024725209082,-0.0006032926614102368,135
1,XGB04,x_lab_albumin_n,2,0.0,0.0,155
1,XGB04,x_lab_bilirubin_total_first,2,0.0016246805930674399,-0.00031204793616179975,138
1,XGB04,x_lab_bilirubin_total_last,2,0.005455778178088077,-0.0016547707393470825,102
1,XGB04,x_lab_bilirubin_total_min,2,0.002409825871478855,-0.00031536098071375396,130
1,XGB04,x_lab_bilirubin_total_max,2,0.0033861485286571964,-0.00035646658156873994,118
1,XGB04,x_lab_bilirubin_total_mean,2,0.009630162005285419,-0.003427354034217047,62
1,XGB04,x_lab_bilirubin_total_n,2,0.0010688530301612073,-0.0003762401862197436,149
1,XGB04,x_lab_inr_first,2,0.018893285399834803,-0.0031542909359711362,37
1,XGB04,x_lab_inr_last,2,0.006198311550030756,-0.0008939205912758128,88
1,XGB04,x_lab_inr_min,2,0.0064558892265745875,-0.0014812742467323844,85
1,XGB04,x_lab_inr_max,2,0.013368957345549303,-0.0017457777962058376,52
1,XGB04,x_lab_inr_mean,2,0.009498509893560731,-0.0015038051852619967,63
1,XGB04,x_lab_inr_n,2,0.0247922563850843,-0.004154695408877902,29
1,XGB04,x_lab_anion_gap_first,2,0.0011309338316565195,-0.0003435142891263006,148
1,XGB04,x_lab_anion_gap_last,2,0.04335600184643486,-0.026063029686373626,18
1,XGB04,x_lab_anion_gap_min,2,0.009648427315089681,-0.006392605233346949,61
1,XGB04,x_lab_anion_gap_max,2,0.00835528224581711,-0.004071763309724183,69
1,XGB04,x_lab_anion_gap_mean,2,0.005039052449872986,-0.003556278144166793,109
1,XGB04,x_lab_anion_gap_n,2,0.002972887357532786,0.0003602217316502322,124
1,XGB04,x_vital_heart_rate_first,2,0.0071846807035788945,0.0007695572931094732,77
1,XGB04,x_vital_heart_rate_last,2,0.06307118183122365,-0.010745796914166926,11
1,XGB04,x_vital_heart_rate_min,2,0.008162614756892004,-0.000655166439799877,70
1,XGB04,x_vital_heart_rate_max,2,0.008546643715414713,-0.0018742739772498952,67
1,XGB04,x_vital_heart_rate_mean,2,0.026146273213722666,-0.005675520884635472,28
1,XGB04,x_vital_heart_rate_sd,2,0.04473946569294971,-0.006293760455441836,17
1,XGB04,x_vital_heart_rate_n,2,0.0053752243050456385,-0.0021722646099158385,104
1,XGB04,x_vital_sao2_first,2,0.012779342100707655,-0.00038293168748241516,53
1,XGB04,x_vital_sao2_last,2,0.014806327505990553,-0.0032117517097526287,46
1,XGB04,x_vital_sao2_min,2,0.007856628755672791,0.0005406622320401906,75
1,XGB04,x_vital_sao2_max,2,0.0003314755491855771,-4.11054165008457e-05,154
